2026-02-21 01:10:33,984 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:10:33,984 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:10:33,985 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:10:33,986 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:10:33,987 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:10:33,987 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:10:34,006 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:10:41,657 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:10:41,660 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:10:41,660 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:10:41,661 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:10:41,661 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:10:41,661 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:10:41,664 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:10:53,074 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:10:53,075 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:10:53,076 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:10:53,077 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:10:53,077 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:10:53,078 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:10:53,080 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:10:59,478 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:10:59,478 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:10:59,480 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:10:59,480 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:10:59,480 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:10:59,481 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:10:59,483 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:11:04,933 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:11:04,933 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:11:04,934 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:11:04,935 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:11:04,935 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:11:04,935 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:11:04,937 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:11:09,571 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:11:09,573 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:11:09,573 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:11:09,574 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:11:09,574 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:11:09,574 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:11:09,576 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:11:17,444 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:11:17,444 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:11:17,444 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:11:17,446 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:11:17,446 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:11:17,446 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:11:17,449 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:11:22,369 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:11:22,370 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:11:22,371 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:11:22,371 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:11:22,371 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:11:22,371 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:11:22,374 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:11:26,453 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:11:26,453 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:11:26,454 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:11:26,456 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:11:26,456 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:11:26,456 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:11:26,457 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:11:32,465 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:11:32,466 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:11:32,466 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:11:32,466 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:11:32,466 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:11:32,467 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:11:32,469 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:11:38,418 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:11:38,419 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:11:38,419 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:11:38,420 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:11:38,420 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:11:38,420 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:11:38,421 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:11:42,792 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:11:42,792 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:11:42,792 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:11:42,792 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:11:42,794 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:11:42,794 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:11:42,796 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:12:13,535 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:12:13,536 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:12:13,536 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:12:13,537 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:12:13,537 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:12:13,538 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:12:13,540 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:12:18,819 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:12:18,820 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:12:18,820 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:12:18,821 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:12:18,821 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:12:18,822 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:12:18,825 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:12:37,172 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:12:37,173 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:12:37,174 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:12:37,174 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:12:37,175 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:12:37,175 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:12:37,177 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:12:40,495 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:12:40,495 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:12:40,496 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:12:40,497 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:12:40,497 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:12:40,497 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:12:40,499 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:13:08,350 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:13:08,350 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:13:08,352 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:13:08,352 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:13:08,353 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:13:08,354 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:13:08,356 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:14:02,224 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:14:02,225 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:14:02,225 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:14:02,226 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:14:02,227 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:14:02,228 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:14:02,229 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:14:21,428 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:14:21,428 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:14:21,429 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:14:21,429 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:14:21,430 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:14:21,430 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:14:21,432 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:14:52,915 | INFO     | bootstrap | Starting environment setup...
